feedback_id,source,persona,feedback
F001,Support,Finance,"Month end takes forever because I have to export the payment report and reconcile it against our accounting system manually."
F002,Interview,Finance,"I normally spend about two hours at the end of the month checking that the payments in the system match our bank records."
F003,Survey,Administrator,"It would be useful if the dashboard told me when a payment failed instead of me having to find it later."
F004,Support,Administrator,"A customer said they paid but I couldn't tell whether the payment had actually completed."
F005,Interview,Finance,"Most of the numbers are correct but occasionally there is a difference and finding the transaction causing it can take ages."
F006,Survey,Manager,"Overall the payments feature works well for us."
F007,Support,Finance,"We export everything to Excel before sending the figures to our accountant."
F008,Interview,Administrator,"Customers sometimes phone us because they aren't sure whether their online payment went through."
F009,Survey,Administrator,"Please add a dark mode."
F010,Support,Finance,"I found a failed payment three days later while doing reconciliation. We should have known about it immediately."
F011,Interview,Manager,"I'd like a weekly summary showing successful payments, failures and anything that needs attention."
F012,Survey,Finance,"Reconciliation is probably the most time consuming part of the system for me."
F013,Support,Administrator,"I accidentally sent the same payment reminder twice because I couldn't see clearly that it had already been sent."
F014,Interview,Finance,"I compare the platform report with our accounting software line by line. There must be an easier way."
F015,Survey,Manager,"I don't really use the finance reports so I can't comment on them."
F016,Support,Administrator,"Can we get an alert when an online payment fails?"
F017,Interview,Finance,"I'd rather review exceptions than reconcile every successful transaction manually."
F018,Survey,Administrator,"The search could be faster when looking for an old customer."
F019,Support,Finance,"We had a difference between the settlement amount and our report and it took most of the morning to understand why."
F020,Interview,Manager,"I want my team to know about payment problems before a customer has to call us."
F021,Survey,Finance,"An automatic reconciliation feature would save me a lot of time."
F022,Support,Administrator,"The customer paid successfully but the status didn't seem to update straight away, so I wasn't sure what to tell them."
F023,Interview,Administrator,"Payment status is generally clear. The only time I struggle is when something fails or stays pending."
F024,Survey,Manager,"Could you add more colours to the dashboard charts?"
F025,Support,Finance,"We manually download the payment data and import it into our accounting package."
F026,Interview,Finance,"I don't necessarily want full automatic reconciliation. I'd be happier if the system just highlighted the transactions that don't match."
F027,Survey,Administrator,"A notification when a payment remains pending for too long would be useful."
F028,Support,Manager,"Our team missed a failed payment and only discovered it when the customer contacted us."
F029,Interview,Finance,"The monthly totals are useful and I trust them most of the time, but I still check them independently."
F030,Survey,Administrator,"I would like to customise the logo on receipts."
F031,Support,Finance,"Refunds make reconciliation more complicated because it isn't always obvious which original payment they relate to."
F032,Interview,Manager,"The biggest improvement for me would be fewer customers calling about whether their payment worked."
F033,Survey,Finance,"Please don't automate everything. I need to be able to check and approve financial adjustments."
F034,Support,Administrator,"It would help if failed payments showed a reason rather than just saying failed."
F035,Interview,Finance,"We have several people working on month end and sometimes two of us investigate the same discrepancy."
F036,Survey,Manager,"The system is much easier than our old process."
F037,Support,Administrator,"I need a clearer history of what happened to a payment when a customer disputes it."
F038,Interview,Finance,"If I could see unmatched transactions in one place that would probably remove most of the manual work."
F039,Survey,Administrator,"Could the font size be slightly larger on the payment screen?"
F040,Support,Manager,"I want an exception report showing failed, pending or unusual payments so the team knows what needs action."
